"transaction_id";"timestamp_id";"customer_id";"item"
"113255";"12/13/16 18:05";"200000663";"8619953091"
"113254";"12/13/16 18:05";"200000661";"2020397001"
"113253";"12/13/16 18:03";"200000662";"4681342313"
"113252";"12/13/16 18:01";"100000007";"6697166886"
"113251";"12/13/16 18:01";"400000180";"6697166886"
"113250";"12/13/16 17:59";"200000701";"5187373849"
"113249";"12/13/16 17:59";"300000467";"7010679527"
"113248";"12/13/16 17:58";"400000706";"1893735141"
"113247";"12/13/16 17:57";"100000061";"8241463559"
"113246";"12/13/16 17:55";"400000513";"2430071492"
"113245";"12/13/16 17:51";"200000459";"6988128169"
"113244";"12/13/16 17:48";"200000482";"7270957383"
"113243";"12/13/16 17:48";"100000081";"6228611532"
"113242";"12/13/16 17:46";"200000821";"1940915493"
"113241";"12/13/16 17:45";"300000015";"3305177499"
"113240";"12/13/16 17:43";"100000252";"4924918902"
"113239";"12/13/16 17:42";"300000822";"2363094138"
"113238";"12/13/16 17:42";"300000815";"2355020550"
"113237";"12/13/16 17:42";"100000618";"3890778939"
"113236";"12/13/16 17:42";"100000051";"5153370805"
"113235";"12/13/16 17:42";"100000880";"1737807900"
"113234";"12/13/16 17:40";"100000898";"2695940506"
"113233";"12/13/16 17:40";"400000359";"9873264896"
"113232";"12/13/16 17:39";"100000559";"7270957383"
"113231";"12/13/16 17:38";"100000878";"8068199275"
"113230";"12/13/16 17:36";"100000013";"2588421965"
"113229";"12/13/16 17:35";"100000569";"9730446421"
"113228";"12/13/16 17:34";"300000852";"4327321762"
"113227";"12/13/16 17:33";"100000158";"3126356136"
"113226";"12/13/16 17:33";"300000023";"2178891798"
"113225";"12/13/16 17:33";"100000923";"3795753080"
"113224";"12/13/16 17:29";"100000251";"2210750188"
"113223";"12/13/16 17:28";"400000557";"5509524170"
"113222";"12/13/16 17:27";"300000614";"2524845521"
"113221";"12/13/16 17:26";"100000477";"6228611532"
"113220";"12/13/16 17:26";"200000537";"4924918902"
"113219";"12/13/16 17:25";"100000567";"5050067655"
"113218";"12/13/16 17:24";"200000256";"3123824581"
"113217";"12/13/16 17:22";"400000368";"7841340144"
"113216";"12/13/16 17:20";"100000521";"9538578209"
"113215";"12/13/16 17:20";"200000493";"9730446421"
"113214";"12/13/16 17:20";"100000173";"5310615417"
"113213";"12/13/16 17:19";"100000824";"6991736764"
"113212";"12/13/16 17:18";"100000344";"6182400847"
"113211";"12/13/16 17:17";"100000760";"8675740287"
"113210";"12/13/16 17:17";"100000542";"6661671897"
"113209";"12/13/16 17:12";"300000730";"2430071492"
"113208";"12/13/16 17:11";"100000121";"2363094138"
"113207";"12/13/16 17:10";"100000051";"7833392032"
"113206";"12/13/16 17:10";"200000582";"3256419181"
"113205";"12/13/16 17:09";"400000396";"1160651321"
"113204";"12/13/16 17:08";"300000238";"2355020550"
"113203";"12/13/16 17:08";"100000236";"1284609276"
"113202";"12/13/16 17:05";"100000010";"5509524170"
"113201";"12/13/16 17:04";"100000341";"6511971572"
"113200";"12/13/16 17:03";"100000564";"8143229140"
"113199";"12/13/16 16:59";"400000690";"6182400847"
"113198";"12/13/16 16:59";"200000387";"2113413915"
"113197";"12/13/16 16:58";"400000916";"9862518267"
"113196";"12/13/16 16:57";"100000931";"3890778939"
"113195";"12/13/16 16:53";"100000345";"8068199275"
"113194";"12/13/16 16:53";"100000144";"5997626126"
"113193";"12/13/16 16:52";"300000495";"3135576553"
"113192";"12/13/16 16:52";"100000169";"6548962456"
"113191";"12/13/16 16:51";"300000702";"7841340144"
"113190";"12/13/16 16:51";"100000383";"7010679527"
"113189";"12/13/16 16:50";"200000646";"3750666773"
"113188";"12/13/16 16:49";"400000398";"7645689457"
"113187";"12/13/16 16:45";"100000192";"6511971572"
"113186";"12/13/16 16:45";"100000315";"6697166886"
"113185";"12/13/16 16:42";"100000181";"7833392032"
"113184";"12/13/16 16:40";"300000814";"8269421724"
"113183";"12/13/16 16:39";"100000854";"9313710898"
"113182";"12/13/16 16:38";"100000286";"2430071492"
"113181";"12/13/16 16:38";"200000548";"1284609276"
"113180";"12/13/16 16:37";"100000145";"8675740287"
"113179";"12/13/16 16:33";"100000412";"2876522496"
"113178";"12/13/16 16:31";"200000350";"6228611532"
"113177";"12/13/16 16:26";"100000724";"3382973348"
"113176";"12/13/16 16:24";"400000653";"4934584980"
"113175";"12/13/16 16:23";"100000136";"8586814459"
"113174";"12/13/16 16:23";"300000271";"9538578209"
"113173";"12/13/16 16:22";"100000285";"5480721202"
"113172";"12/13/16 16:22";"200000523";"4291344502"
"113171";"12/13/16 16:22";"100000154";"8619953091"
"113170";"12/13/16 16:21";"200000071";"6648383061"
"113169";"12/13/16 16:20";"100000520";"1737807900"
"113168";"12/13/16 16:18";"100000451";"7502168586"
"113167";"12/13/16 16:16";"100000546";"7425260271"
"113166";"12/13/16 16:14";"300000636";"3305177499"
"113165";"12/13/16 16:13";"100000936";"8213207925"
"113164";"12/13/16 16:13";"200000819";"6648383061"
"113163";"12/13/16 16:10";"100000171";"2430071492"
"113162";"12/13/16 16:09";"100000042";"6511971572"
"113161";"12/13/16 16:09";"300000597";"1988250904"
"113160";"12/13/16 16:08";"300000597";"5997626126"
"113159";"12/13/16 16:04";"200000896";"6182400847"
"113158";"12/13/16 16:01";"400000472";"1336619171"
"113157";"12/13/16 16:00";"100000919";"4291344502"
"113156";"12/13/16 15:57";"100000422";"1336619171"
"113155";"12/13/16 15:57";"200000819";"9313710898"
"113154";"12/13/16 15:56";"100000294";"1737807900"
"113153";"12/13/16 15:56";"100000841";"2113413915"
"113152";"12/13/16 15:54";"100000544";"3256419181"
"113151";"12/13/16 15:52";"300000734";"2355020550"
"113150";"12/13/16 15:52";"300000633";"7502168586"
"113149";"12/13/16 15:51";"200000646";"1988250904"
"113148";"12/13/16 15:50";"400000515";"1303837083"
"113147";"12/13/16 15:50";"100000170";"2695940506"
"113146";"12/13/16 15:49";"100000330";"2355020550"
"113145";"12/13/16 15:48";"100000558";"8213207925"
"113144";"12/13/16 15:48";"400000914";"5145202479"
"113143";"12/13/16 15:48";"100000293";"5480721202"
